734025,20090910,    25,  1,  13,    31, -1,  10
734028,20090913,     2,  1,  19,    17, -1,   7
734028,20090913,     3,  1,  38,    16, -1,  24
734028,20090913,    24, -1,  38,     5,  1,  10
734028,20090913,    14,  1,  14,    15, -1,  12
734028,20090913,     9, -1,  34,    30,  1,  21
734028,20090913,    20,  1,  45,    11, -1,  27
734028,20090913,    22, -1,  24,    13,  1,   7
734028,20090913,    18, -1,  34,     8,  1,  20
734028,20090913,    10, -1,  12,     7,  1,   7
734028,20090913,    27, -1,  20,     1,  1,  16
734028,20090913,    21,  1,  23,    32, -1,  17
734028,20090913,    28,  1,  28,    29, -1,   0
734028,20090913,    12,  1,  21,     6, -1,  15
734029,20090914,    19,  1,  25,     4, -1,  24
734029,20090914,    26, -1,  24,    23,  1,  20
734035,20090920,    18, -1,  27,    11,  1,  13
734035,20090920,     2,  1,  28,     5, -1,  20
734035,20090920,     7, -1,  31,    12,  1,  24
734035,20090920,     1, -1,  31,    15,  1,  17
734035,20090920,    22,  1,  16,    19, -1,   9
734035,20090920,    13, -1,  34,    31,  1,  31
734035,20090920,    32,  1,   9,    29, -1,   7
734035,20090920,    20, -1,  48,    24,  1,  22
734035,20090920,    23, -1,  13,    16,  1,  10
734035,20090920,     4,  1,  33,    30, -1,  20
734035,20090920,    27,  1,  23,    28, -1,  10
734035,20090920,     6,  1,  17,    25, -1,  14
734035,20090920,    10,  1,  27,     8, -1,   6
734035,20090920,     3, -1,  31,    26,  1,  26
734035,20090920,    21, -1,  33,     9,  1,  31
734036,20090921,    14, -1,  27,    17,  1,  23
734042,20090927,    12, -1,  36,    29,  1,  17
734042,20090927,    24,  1,  34,    16, -1,  14
734042,20090927,    19,  1,  26,     2, -1,  10
734042,20090927,     3,  1,  34,     8, -1,   3
734042,20090927,    11,  1,  19,    32, -1,  14
734042,20090927,    15, -1,  31,    13,  1,  24
734042,20090927,    18,  1,  27,    27, -1,  24
734042,20090927,     7,  1,  23,    25, -1,  20
734042,20090927,    21, -1,  24,    30,  1,   0
734042,20090927,    22,  1,  24,    31, -1,  17
734042,20090927,     6, -1,  25,    28,  1,  19
734042,20090927,    20, -1,  27,     4,  1,   7
734042,20090927,    10, -1,  23,    23,  1,   3
734042,20090927,    26,  1,  23,    17, -1,  13
734042,20090927,    14, -1,  31,     1,  1,  10
734043,20090928,     9,  1,  21,     5, -1,   7
734049,20091004,     6,  1,  48,    11, -1,  24
734049,20091004,     7, -1,  23,     8,  1,  20
734049,20091004,    13,  1,  29,    23, -1,   6
734049,20091004,    15,  1,  37,    31, -1,  17
734049,20091004,    21, -1,  27,    16,  1,  16
734049,20091004,    19,  1,  27,     3, -1,  21
734049,20091004,    32,  1,  16,    30, -1,  13
734049,20091004,    14,  1,  34,    28, -1,  17
734049,20091004,    17,  1,  38,     4, -1,  10
734049,20091004,    20,  1,  24,    22, -1,  10
734049,20091004,    10,  1,  17,     9, -1,  10
734049,20091004,    27,  1,  35,    29, -1,   0
734049,20091004,    25,  1,  38,    26, -1,  28
734050,20091005,    18,  1,  30,    12, -1,  23
734056,20091011,     7, -1,  17,     3,  1,  14
734056,20091011,     8, -1,   6,     4,  1,   3
734056,20091011,     5,  1,  20,    32, -1,  17
734056,20091011,    25, -1,  28,    11,  1,  20
734056,20091011,     9, -1,  26,    16,  1,  20
734056,20091011,    21,  1,  44,    23, -1,   7
734056,20091011,    24,  1,  33,    30, -1,  14
